How Far I'll Go|Alessia Cara
Oxytocin|Billie Eilish
Skepta Interlude|Drake
Candy Paint|Post Malone
Three|Future & Young Thug
95.south|J. Cole
SUGAR|BrockHampton
Last Shot|Kip Moore
Champion|NAV Featuring Travis Scott
False God|Taylor Swift
Talk Up|Drake Featuring JAY-Z
Tampa|Cico P
Start Wit Me|Roddy Ricch & Gunna
Echame La Culpa|Luis Fonsi & Demi Lovato
Started From|Lil Durk
Blue On Black|Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May
Sledgehammer|Fifth Harmony
Thunderclouds|Labrinth, Sia & Diplo Present... LSD
No Tears Left To Cry|Ariana Grande
Nothing Breaks Like A Heart|Mark Ronson Featuring Miley Cyrus
Ran$om|Lil Tecca
Mahogany|Lil Wayne
Life Is Worth Living|Justin Bieber
High|The Chainsmokers
Cake By The Ocean|DNCE
Mi Gente|J Balvin & Willy William Featuring Beyonce
She Bad|Cardi B & YG
Neon Guts|Lil Uzi Vert Featuring Pharrell Williams
Lust|Lil Skies
This Is Me|Keala Settle & The Greatest Showman Ensemble
First Day Out|Tee Grizzley
Not A Bad Thing|Justin Timberlake
Gucci Flip Flops|Bhad Bhabie Featuring Lil Yachty
The Heart Wants What It Wants|Selena Gomez
Love Yourself|Justin Bieber
Blueberry Faygo|Lil Mosey
Distraction|Kehlani
Good Vibes|Chris Janson
My House|Flo Rida
Lost Without U|Chris Jamison & Adam Levine
What's Love??|Rod Wave
Stay With Me|Sam Smith
...Ready For It?|Taylor Swift
Yosemite|Travis Scott
Sex With Me|Rihanna
Xanny|Billie Eilish
Smooth|Florida Georgia Line
Me, Myself & I|G-Eazy x Bebe Rexha
Peek A Boo|Lil Yachty Featuring Migos
Burnin' Up|Jessie J Featuring 2 Chainz
One Too Many|Keith Urban Duet With P!nk
Omerta|Drake
Africa|Weezer
OMG|Camila Cabello Featuring Quavo
Chicken Noodle Soup|j-hope Featuring Becky G.
Usain Boo|Kodak Black
Love Is A Game|Adele
Now Or Never|Halsey
Cuban Links|Rod Wave & Kevin Gates
That's It|Future & Lil Uzi Vert
Main Chick|Kid Ink Featuring Chris Brown
Problems|Lil Wayne
Who Want Smoke??|Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage
Maybach|42 Dugg Featuring Future
Letter From Houston|Rod Wave
Good Old Days|Macklemore Featuring Kesha
NBAYoungboat|Lil Yachty Featuring NBA YoungBoy
P Power|Gunna Featuring Drake
Off The Table|Ariana Grande Featuring The Weeknd
Love So Soft|Kelly Clarkson
Summer Sixteen|Drake
Circus|Summer Walker
Mother's Daughter|Miley Cyrus
Find My Way|DaBaby
Solia|Bad Bunny
Solid|Young Thug & Gunna Featuring Drake
Make It Sweet|Old Dominion
Acquainted|The Weeknd
Hole In The Bottle|Kelsea Ballerini
Leaders|Lil Uzi Vert Featuring NAV
One Kiss|Calvin Harris & Dua Lipa
I'm The One|DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne
Never Recover|Lil Baby & Gunna Featuring Drake
Wet Dreamz|J. Cole
25 Million|Roddy Ricch
pov|Ariana Grande
Havana|Camila Cabello Featuring Young Thug
Off My Face|Justin Bieber
No Mistakes|Kanye West
Straight Outta Compton|N.W.A
I Put A Spell On You|Annie Lennox
Yo Perreo Sola|Bad Bunny
You Should See Me In A Crown|Billie Eilish
Intro|J. Cole
Fall In Love|Bailey Zimmerman
Loyalty.|Kendrick Lamar Featuring Rihanna
Pillowtalk|Zayn
If The Boot Fits|Granger Smith
Always Been You|Jessie Murph
Real Hitta|Plies Featuring Kodak Black
Wild Thoughts|DJ Khaled Featuring Rihanna & Bryson Tiller
Noise|Kenny Chesney
Work It|Missy "Misdemeanor" Elliott
Straight To It|King Von Featuring Fivio Foreign
Sing|Ed Sheeran
You Don't Own Me|Grace Featuring G-Eazy
EARFQUAKE|Tyler, The Creator
For You (Fifty Shades Freed)|Liam Payne & Rita Ora
Ain't Worth The Whiskey|Cole Swindell
Shock Da World|Rod Wave
Oodles O' Noodles Babies|Meek Mill
Escapate Conmigo|Wisin Featuring Ozuna
Family Feud|JAY-Z Featuring Beyonce
Look At My Dab|Migos
What's Next|Drake
Go Crazy|Chris Brown & Young Thug
Eraser|Ed Sheeran
Heaven|Kane Brown
Song For Another Time|Old Dominion
Dame Tu Cosita|Pitbull x El Chombo x Karol G Featuring Cutty Ranks
Favorite Time Of Year|Carrie Underwood
GATTI|JACKBOYS, Pop Smoke & Travis Scott
Done For Me|Charlie Puth Featuring Kehlani
Lips Are Movin|Meghan Trainor
Millidelphia|Meek Mill Featuring Swizz Beatz
I Will Never Let You Down|Rita Ora
New Again|Kanye West
Met Gala|Gucci Mane Featuring Offset
Everything's Gonna Be Alright|David Lee Murphy & Kenny Chesney
Love.|Kendrick Lamar Featuring Zacari
Pop Style|Drake Featuring The Throne
my.life|J. Cole, 21 Savage & Morray
Unaccommodating|Eminem Featuring Young M.A
Demons|Drake Featuring Fivio Foreign & Sosa Geek
War|Drake
Over The Top|Smiley Featuring Drake
Young Dumb & Broke|Khalid
Red Room|Offset
Handgun|YG Featuring A$AP Rocky
No Excuses|Meghan Trainor
Out Of Time|The Weeknd
Bad Energy|Juice WRLD
Make Up|Ariana Grande
Flicka Da Wrist|Chedda Da Connect
This Is How We Roll|Florida Georgia Line Ft. Jason Derulo & Luke Bryan
Moon Relate|Lil Uzi Vert
Heroe Favorito|Romeo Santos
Redman|Lil Durk
Emotionless|Drake
Zero|Chris Brown
Stunting Ain't Nuthin|Gucci Mane Featuring Slim Jxmmi & Young Dolph
Sin Pijama|Becky G + Natti Natasha
Shy Away|twenty one pilots
Pretty Heart|Parker McCollum
Lovin' On You|Luke Combs
Small Town Throwdown|Brantley Gilbert Featuring Justin Moore & Thomas Rhett
This Is America|Childish Gambino
Goodnight N Go|Ariana Grande
Written In The Sand|Old Dominion
We Don't Talk Anymore|Charlie Puth Featuring Selena Gomez
When We Were Young|Adele
OMDB|Rod Wave
Father Stretch My Hands, Pt. 1|Kanye West
Jimmy Choo|Fetty Wap
What Lovers Do|Maroon 5 Featuring SZA
Ecstasy|Young Thug Featuring Machine Gun Kelly
Real Baby Pluto|Future & Lil Uzi Vert
Lonely Tonight|Blake Shelton Featuring Ashley Monroe
Home Sweet|Russell Dickerson
Feigning|Gunna
Bang!|AJR
Savage|Megan Thee Stallion
Either Way|Chris Stapleton
Twerk|City Girls Featuring Cardi B
Sad!|XXXTENTACION
Dessert|Dawin
Jet Black Heart|5 Seconds Of Summer
Real Life|Jake Owen
Poppin|Yeat
Play That Song|Train
Rich Off Pain|Lil Baby, Lil Durk & Rod Wave
OTW|DJ Luke Nasty
KIKA|6ix9ine Featuring Tory Lanez
One Shot|YoungBoy Never Broke Again Featuring Lil Baby
Different For Girls|Dierks Bentley Featuring Elle King
She's Kinda Hot|5 Seconds Of Summer
Chasing After You|Ryan Hurd With Maren Morris
Planez|Jeremih Featuring J. Cole
Tell Me U Luv Me|Juice WRLD & Trippie Redd
Dos Oruguitas|Sebastian Yatra
Curve|Gucci Mane Featuring The Weeknd
Singles You Up|Jordan Davis
Less Than Zero|The Weeknd
Me And My Guitar|A Boogie Wit da Hoodie
The Git Up|Blanco Brown
Demon High|Lil Uzi Vert
Ye vs The People|Kanye West Featuring T.I.
Call On Me|Starley
Conscience|Kodak Black Featuring Future
Wake Up|Fetty Wap
Lover|Taylor Swift
No Type|Rae Sremmurd
You Make It Easy|Jason Aldean
Foldin Clothes|J. Cole
Sun Goes Down|Lil Nas X
Plastic|Future & Lil Uzi Vert
Coffee|Miguel
Despacito|Luis Fonsi & Daddy Yankee Featuring Justin Bieber
Blood.|Kendrick Lamar
Soldier|Damien
Monster|Meek Mill
Move That Doh|Future Featuring Pharrell, Pusha T & Casino
Habits (Stay High)|Tove Lo
Litty|Meek Mill Featuring Tory Lanez
Botella Tras Botella|Gera MX + Christian Nodal
Never Really Over|Katy Perry
One Minute|XXXTENTACION Featuring Kanye West & Travis Barker
Mona Lisa|Lil Wayne Featuring Kendrick Lamar
NASA|Ariana Grande
Better Man (Taylor's Version) (From The Vault)|Taylor Swift
Neighbors|J. Cole
Legends|Kelsea Ballerini
Get Ur Freak On|Missy "Misdemeanor" Elliott
Been You|Justin Bieber
Silence|Marshmello Featuring Khalid
God.|Kendrick Lamar
Easier|5 Seconds Of Summer
Sandra's Rose|Drake
Don't Think Jesus|Morgan Wallen
Last Hurrah|Bebe Rexha
Make Me Feel|Janelle Monae
The Rest Of Our Life|Tim McGraw & Faith Hill
My Blood|twenty one pilots
Notice Me|Migos Featuring Post Malone
Marni On Me|Future & Lil Uzi Vert
MOTW|Gunna
Truffle Butter|Nicki Minaj Featuring Drake & Lil Wayne
Don't Cry|Lil Wayne Featuring XXXTENTACION
Bank Account|21 Savage
Velvet|Chris Jamison
Somebody Like That|Tenille Arts
The Scotts|THE SCOTTS, Travis Scott & Kid Cudi
Apes**t|The Carters
Some Kind Of Drug|G-Eazy Featuring Marc E. Bassy
Forever|Justin Bieber Featuring Post Malone & Clever
Stockholm Syndrome|One Direction
Keep Your Money|Empire Cast Featuring Jussie Smollett
Silly Watch|Lil Uzi Vert
Big Boy Diamonds|Gucci Mane Featuring Kodak Black & London On Da Track
Woman|Kesha Featuring The Dap-Kings Horns
My Dawg|Lil Baby
Say Something|Justin Timberlake Featuring Chris Stapleton
Rock|Plies
Si Veo A Tu Mama|Bad Bunny
Little Red Wagon|Miranda Lambert
The Lucky One (Taylor's Version)|Taylor Swift
Go Stupid|Polo G Featuring NLE Choppa & Stunna 4 Vegas
STOOPID|6ix9ine Featuring Bobby Shmurda
Wouldn't Leave|Kanye West Featuring PARTYNEXTDOOR
Weak|AJR
Lets Go Brandon|Loza Alexander
Te Robare|Nicky Jam X Ozuna
Ultralight Beam|Kanye West
How It Feels|Lil Baby & Lil Durk
Club Paradise|Drake
Heartbeat|Carrie Underwood
Dancing On My Own|Calum Scott
Circles Around This Town|Maren Morris
One Call|Gunna
Blue Tacoma|Russell Dickerson
Sauce It Up|Lil Uzi Vert
Sweet Little Somethin'|Jason Aldean
Senorita|Shawn Mendes & Camila Cabello
Ready To Run|One Direction
Wasting Time|Brent Faiyaz Featuring Drake
Praise The Lord (Da Shine)|A$AP Rocky Featuring Skepta
Love Language|Ariana Grande
There's Nothing Holdin' Me Back|Shawn Mendes
You Broke Me First.|Tate McRae
Ghost Town|Adam Lambert
OK Not To Be OK|Marshmello & Demi Lovato
No More Parties|Coi Leray Featuring Lil Durk
Pete Davidson|Ariana Grande
What We Ain't Got|Jake Owen
You Say|Lauren Daigle
Thump Shit|42 Dugg & EST Gee
Tap In|Saweetie
Wunna|Gunna
Good 4 U|Olivia Rodrigo
She Came To Give It To You|Usher Featuring Nicki Minaj
Only|Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown
Remind Me To Forget|Kygo Featuring Miguel
NASTY|DaBaby Featuring Ashanti & Megan Thee Stallion
You Wouldn't Understand|Juice WRLD
Late At Night|Roddy Ricch
CRZY|Kehlani
Fix|Chris Lane
Might Not|Belly Featuring The Weeknd
Urgency|Lil Uzi Vert Featuring Syd
More Surprised Than Me|Morgan Wallen
Surface Pressure|Jessica Darrow
Sunrise, Sunburn, Sunset|Luke Bryan
Best Mistake|Ariana Grande Featuring Big Sean
God Only Knows|Jordan Smith & Adam Levine
Thousand Miles|The Kid LAROI
State Of Grace (Taylor's Version)|Taylor Swift
Barbie Tingz|Nicki Minaj
Freestyle|Rod Wave
Favorite Crime|Olivia Rodrigo
24 Hours|TeeFLii Featuring 2 Chainz
Oprah's Bank Account|Lil Yachty, Drake & DaBaby
Don't Come Out The House|Metro Boomin Featuring 21 Savage
No Pressure|Justin Bieber Featuring Big Sean
Break Up In The End|Cole Swindell
transparentsoul|Willow Featuring Travis Barker
Congratulations|Post Malone Featuring Quavo
Swang|Rae Sremmurd
Break My Heart|Dua Lipa
About The Money|T.I. Featuring Young Thug
Right Back|Khalid Featuring A Boogie Wit da Hoodie
Memory I Don't Mess With|Lee Brice
No Interviews|Lil Durk
Track Star|Mooski
Magnolia|Playboi Carti
The Night We Met|Lord Huron
Can't Say|Travis Scott
I Love Me|Demi Lovato
Flex|Polo G Featuring Juice WRLD
Show Me Love|Alicia Keys Featuring Miguel
Show Out|Kid Cudi, Skepta & Pop Smoke
Canceled|Larray
Heart On Ice|Rod Wave
Wish I Knew You|The Revivalists
Timber|Pitbull Featuring Ke$ha
Water Under The Bridge|Adele
Dangerous Woman|Ariana Grande
Fly|Maddie & Tae
Sober|Demi Lovato
All To Myself|Dan + Shay
Life Goes On|Lil Baby Featuring Gunna & Lil Uzi Vert
2 Much|Justin Bieber
Don't Matter To Me|Drake Featuring Michael Jackson
If Pain Was A Person|Moneybagg Yo
La Modelo|Ozuna x Cardi B
Church Bells|Carrie Underwood
Crocodile Teeth|Nicki Minaj & Skillibeng
Big Stepper|Roddy Ricch
Medicine|Queen Naija
No Favors|Big Sean Featuring Eminem
Chill Bill|Rob $tone Featuring J. Davi$ & Spooks
Wolves|Selena Gomez X Marshmello
Baddest Thing|YoungBoy Never Broke Again
WTF (Where They From)|Missy Elliott Featuring Pharrell Williams
Your Heart|Joyner Lucas & J. Cole
The Moment I Knew (Taylor's Version)|Taylor Swift
Halo|Jordan Smith
Bad Boy|Juice WRLD & Young Thug
Famous Hoes|NLE Choppa
223's|YNW Melly & 9lokknine
Tusa|Karol G & Nicki Minaj
You Should Be Sad|Halsey
Screw Juice|Juice WRLD
Stuck In A Dream|Lil Mosey x Gunna
Snake Skin|Trippie Redd
Snitchin|Pop Smoke Featuring Quavo & Future
Gone|Dierks Bentley
It's Nice To Have A Friend|Taylor Swift
Going Down!|XXXTENTACION
Gold|Kiiara
Still Goin Down|Morgan Wallen
Whole Lotta Choppas|Sada Baby Featuring Nicki Minaj
That Don't Sound Like You|Lee Brice
Put On A Smile|Silk Sonic (Bruno Mars & Anderson .Paak)
Lick Back|EST Gee
Scared To Be Lonely|Martin Garrix & Dua Lipa
Wandered To LA.|Juice WRLD & Justin Bieber
Selfish|PnB Rock
Firestone|Kygo Featuring Conrad
Just Like Fire|P!nk
Stick|JID & J. Cole Featuring Kenny Mason & Sheck Wes
Deep Reverence|Big Sean Featuring Nipsey Hussle
It's Everyday Bro|Jake Paul Featuring Team 10
Night Shift|Jon Pardi
The Greatest Show|Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble
Mama Said|Lukas Graham
You Time|Scotty McCreery
Testimony|Kodak Black
Love You Too Late|Cole Swindell
Closure|Taylor Swift
Go Hard Or Go Home|Wiz Khalifa & Iggy Azalea
No Tellin'|Drake
One Margarita|Luke Bryan
Five More Minutes|Scotty McCreery
Carter Son|YoungBoy Never Broke Again
Money|Cardi B
Where Are U Now|Skrillex & Diplo With Justin Bieber
Fear.|Kendrick Lamar
Love Story (Taylor's Version)|Taylor Swift
Stay High|Juice WRLD
Babushka Boi|A$AP Rocky
I Took A Pill In Ibiza|Mike Posner
I Can't Take It Back|YoungBoy Never Broke Again
She's All I Wanna Be|Tate McRae
Say Amen (Saturday Night)|Panic! At The Disco
Harlem Shake|Future Featuring Young Thug
Broken|lovelytheband
Dat Right There|Summer Walker, Pharrell Williams & The Neptunes
Nasty Freestyle|T-Wayne
B.I.T.C.H.|Megan Thee Stallion
After Hours|The Weeknd
Cut It|O.T. Genasis Featuring Young Dolph
Blick Blick!|Coi Leray & Nicki Minaj
Made Me|Snootie Wild Featuring K Camp
Sally Walker|Iggy Azalea
Hurt You|The Weeknd Featuring Gesaffelstein
Make Love|Gucci Mane & Nicki Minaj
Paid The Fine|Young Thug & Gunna Featuring Lil Baby & YTB Trench
Juice|Yo Gotti
Potential|Summer Walker
OFF THE RIP|DaBaby
Nevermind|Dennis Lloyd
Juicy|Doja Cat & Tyga
Human|Rag'n'Bone Man
Lonely Eyes|Chris Young
Self-Made|Bryson Tiller
Baby Shark|Pinkfong
Sandcastles|Beyonce
Out Of The Woods|Taylor Swift
Side To Side|Ariana Grande Featuring Nicki Minaj
How Not To|Dan + Shay
I Pray|Red Marlow
2040|Lil Baby & Lil Durk
Wyclef Jean|Young Thug
Righteous|Juice WRLD
My Sh*t|A Boogie Wit da Hoodie
Six Feet Under|The Weeknd
Don't Play|Polo G Featuring Lil Baby
Higher|DJ Khaled Featuring Nipsey Hussle & John Legend
All I Want For Christmas Is You|Mariah Carey
Soon You'll Get Better|Taylor Swift Featuring Dixie Chicks
Thankful|DJ Khaled Featuring Lil Wayne & Jeremih
No Sense|Justin Bieber Featuring Travi$ Scott
After A Few|Travis Denning
Johnny P's Caddy|Benny The Butcher & J. Cole
Practice|DaBaby
2055|Sleepy Hallow
No Guidance|Chris Brown Featuring Drake
Take Your Time|Sam Hunt
XXL|DaBaby
Nothings Into Somethings|Drake
What You Know Bout Love|Pop Smoke
Obvious|Ariana Grande
Truth Hurts|Lizzo
Christmas (Baby Please Come Home)|Darlene Love
Under Pressure|Queen & David Bowie
Gyalis|Capella Grey
Mr. Jones|Pop Smoke Featuring Future
Secure The Bag|Lil Uzi Vert
Fun|Pitbull Featuring Chris Brown
Love Someone|Lukas Graham
W O R K I N M E|Quavo
I'll Name The Dogs|Blake Shelton
In Your Arms|Nico & Vinz
My Time|BTS
Jerry Sprunger|Tory Lanez & T-Pain
All Eyes On You|Meek Mill Featuring Chris Brown & Nicki Minaj
Wash Us In The Blood|Kanye West Featuring Travis Scott
Flooded|Gunna
Fresh Eyes|Andy Grammer
Lonely Child|YoungBoy Never Broke Again
All Of Me|John Legend
Enemies|Post Malone Featuring DaBaby
Humble.|Kendrick Lamar
Blast Off|Silk Sonic (Bruno Mars & Anderson .Paak)
I Would Die 4 U|Prince And The Revolution
Trillionaire|Future Featuring YoungBoy Never Broke Again
Livin' The Dream|Morgan Wallen
Dolly|Lil Tecca & Lil Uzi Vert
Zack And Codeine|Post Malone
Remember You Young|Thomas Rhett
Corso|Tyler, The Creator
In The Bible|Drake Featuring Lil Durk & Giveon
Drug Addicts|Lil Pump
Brainwashed|Tom MacDonald
Burning House|Cam
Still Hood|Lil Baby & Lil Durk
Money Over Fallouts|Tory Lanez
TIC TOC|6ix9ine Featuring Lil Baby
No Flockin|Kodak Black
RITMO (Bad Boys For Life)|Black Eyed Peas X J Balvin
25k Jacket|Gunna Featuring Lil Baby
I Almost Do (Taylor's Version)|Taylor Swift
Don't Hurt Yourself|Beyonce Featuring Jack White
Raise 'Em Up|Keith Urban Featuring Eric Church
Reborn|KIDS SEE GHOSTS
The Night Is Still Young|Nicki Minaj
I Knew You Were Trouble (Taylor's Version)|Taylor Swift
Hotel|Kid Ink Featuring Chris Brown
This Feeling|The Chainsmokers Featuring Kelsea Ballerini
Say So|Doja Cat Featuring Nicki Minaj
Let Me Down Slowly|Alec Benjamin + Alessia Cara
Higher Power|Coldplay
Rap Saved Me|21 Savage, Offset & Metro Boomin Featuring Quavo
Chains|Nick Jonas
By My Lonely|Kevin Gates
Make Me...|Britney Spears Featuring G-Eazy
The Code|King Von Featuring Polo G
Errrbody|Yo Gotti
Bat Man|YoungBoy Never Broke Again
Raised On Country|Chris Young
Down That Road|Alisan Porter
Closer|The Chainsmokers Featuring Halsey
Changes|XXXTENTACION
Deja Vu|Post Malone Featuring Justin Bieber
Girl Like You|Jason Aldean
Ride It.|Regard
Venetia|Lil Uzi Vert
You & Me|Marc E. Bassy Featuring G-Eazy
Lotus|Lil Uzi Vert
Up To Something|Metro Boomin Featuring Travis Scott & Young Thug
Flip The Switch|Quavo Featuring Drake
Rotten To The Core|Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson
Humble|Lil Baby
Pray|Sam Smith Featuring Logic
Beautiful Mistakes|Maroon 5 Featuring Megan Thee Stallion
XXX.|Kendrick Lamar Featuring U2
La Toxica|Farruko
Run Up|Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj
SAD SHIT|DaBaby
Needed Me|Rihanna
What A Man Gotta Do|Jonas Brothers
Trollz|6ix9ine & Nicki Minaj
Every Hour|Kanye West Featuring Sunday Service Choir
PPAP (Pen-Pineapple-Apple-Pen)|PIKOTARO
Pick Up The Phone|Young Thug And Travis Scott Featuring Quavo
Free Smoke|Drake
Don't Play That|King Von & 21 Savage
Deserve You|Justin Bieber
(There's No Place Like) Home For The Holidays|Perry Como
Thug Of Spades|YoungBoy Never Broke Again Featuring DaBaby
Free Promo|Moneybagg Yo Featuring Polo G & Lil Durk
Otherside Of America|Meek Mill
POP|Lil Uzi Vert
Might Not Give Up|A Boogie Wit da Hoodie Featuring Young Thug
My Old Man|Zac Brown Band
We Go Up|Nicki Minaj & Fivio Foreign
Sicko Mode|Travis Scott
Sincerely|YoungBoy Never Broke Again
DNA.|Kendrick Lamar
Drew Barrymore|Bryce Vine
Visiting Hours|Ed Sheeran
Sixteen|Thomas Rhett
My Little Love|Adele
Infrared|Pusha T
Stranger Things|Joyner Lucas & Chris Brown
@ MEH|Playboi Carti
Provide|G-Eazy Featuring Chris Brown & Mark Morrison
My Future|Billie Eilish
Million Dollar Play|Future & Lil Uzi Vert
Plug Walk|Rich The Kid
Headtaps|Lil Durk
Conversations In The Dark|John Legend
Manslaughter|Pop Smoke Featuring Rick Ross & The-Dream
Nights Like This|Kehlani Featuring Ty Dolla $ign
B*tch From da Souf|Mulatto
Team|Iggy Azalea
Nightmare|Offset & Metro Boomin
Hurricane|Luke Combs
Racks Blue|Future
Way Down We Go|KALEO
Walk On Water|Eminem Featuring Beyonce
Don't|Ed Sheeran
KIDS SEE GHOSTS|KIDS SEE GHOSTS
Stepping Stone|Eminem
Same Thing|Lil Baby
Prblms|6LACK
Don't Stop|Megan Thee Stallion Featuring Young Thug
Mele Kalikimaka (Merry Christmas)|Bing Crosby & The Andrews Sisters
All We Know|The Chainsmokers Featuring Phoebe Ryan
Cool Kids|Echosmith
Latch|Disclosure Featuring Sam Smith
This Is It|Scotty McCreery
Vaina Loca|Ozuna x Manuel Turizo
Pass Out|Quavo Featuring 21 Savage
Most Girls|Hailee Steinfeld
Let Me|Zayn
Hymn For The Weekend|Coldplay
All I Ask|Adele
Desires|Drake Featuring Future
Narcos|Migos
R.I.P Screw|Travis Scott
Startender|A Boogie Wit da Hoodie Featuring Offset & Tyga
Jersey|Future
Something In The Orange|Zach Bryan
Fairly Local|twenty one pilots
2Hoo|YoungBoy Never Broke Again
This Could Be Us|Rae Sremmurd
Wonderin' Bout The Wind|Morgan Wallen
In Too Deep|Eminem
Holy Smokes|Trippie Redd Featuring Lil Uzi Vert
Emoji A Chain|Migos
Wasted|Tiesto Featuring Matthew Koma
Malibu|Miley Cyrus
Race My Mind|Drake
Past Life|Trevor Daniel x Selena Gomez
Let It Sing|Kevin Gates
Whiskey'd My Way|Morgan Wallen
Slidin|21 Savage & Metro Boomin
Drunk On Your Love|Brett Eldredge
Over Now|Post Malone
Nothin' Like You|Dan + Shay
There Was This Girl|Riley Green
Everybody Dies|J. Cole
Beautiful People|Ed Sheeran Featuring Khalid
Lost In The Fire|Gesaffelstein & The Weeknd
Cowboy Like Me|Taylor Swift
Victory Lap|Nipsey Hussle Featuring Stacy Barthe
Where It's At (Yep, Yep)|Dustin Lynch
Empty|Juice WRLD
All In My Head (Flex)|Fifth Harmony Featuring Fetty Wap
Round Here Buzz|Eric Church
Don't Get Too High|Bryson Tiller
Let It Go|Idina Menzel
Like I'm Gonna Lose You|Meghan Trainor Featuring John Legend
Paramedic!|SOB X RBE
One Thing Right|Marshmello & Kane Brown
7/11|Beyonce
It Ain't My Fault|Brothers Osborne
Tennessee Rain|Addison Agen
Leave The Night On|Sam Hunt
I Don't Care|Ed Sheeran & Justin Bieber
Just Us|DJ Khaled Featuring SZA
Say It|Tory Lanez
Back Up|DeJ Loaf Featuring Big Sean
I Got The Boy|Jana Kramer
A Thousand Bad Times|Post Malone
This Is How We Do|Katy Perry
Never Be The Same|Camila Cabello
Tell The Vision|Pop Smoke Featuring Kanye West & Pusha T
Reciprocate|Summer Walker
Pepas|Farruko
Location|Khalid
God Is A Woman|Ariana Grande
Raspberry Beret|Prince And The Revolution
Doja|$NOT & A$AP Rocky
Here Comes Santa Claus (Right Down Santa Claus Lane)|Gene Autry
One That Got Away|Michael Ray
In The Name Of Love|Martin Garrix & Bebe Rexha
Bed Of Lies|Nicki Minaj Featuring Skylar Grey
Sweatshirt|Jacob Sartorius
Check|Young Thug
Come With Me Now|KONGOS
Do It Again|Pia Mia Featuring Chris Brown & Tyga
We Were|Keith Urban
Do It|Chloe X Halle
Still D.R.E.|Dr. Dre Featuring Snoop Dogg
Fireball|Pitbull Featuring John Ryan
Chanel (Go Get It)|Young Thug Featuring Gunna & Lil Baby
Try Everything|Shakira
Centuries|Fall Out Boy
Taki Taki|DJ Snake Featuring Selena Gomez, Ozuna & Cardi B
Snapback|Old Dominion
Beers And Sunshine|Darius Rucker
Used 2|Lil Wayne
Oui|Jeremih
Ghost Story|Carrie Underwood
Pop Out|Polo G Featuring Lil Tjay
Trust Nothing|King Von Featuring Moneybagg Yo
Bichiyal|Bad Bunny & Yaviah
Topanga|Trippie Redd
Cheyenne|Jason Derulo
92 Explorer|Post Malone
Swalla|Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
You Should Be Here|Cole Swindell
XO TOUR Llif3|Lil Uzi Vert
Bella y Sensual|Romeo Santos Featuring Nicky Jam & Daddy Yankee
The Days|Avicii
Legend|Drake
Throat Baby (Go Baby)|BRS Kash
In Case You Didn't Know|Brett Young
Kill This Love|BLACKPINK
Love Again|Dua Lipa
Say A'|A Boogie Wit da Hoodie
Get Into It (Yuh)|Doja Cat
Facetime|King Von Featuring G Herbo
Criminal|Natti Natasha x Ozuna
Undrunk|FLETCHER
Bad Bad|YoungBoy Never Broke Again
Miss The Rage|Trippie Redd & Playboi Carti
Bloodline|Ariana Grande
Behind Barz|Drake
March 14|Drake
Shaky Shaky|Daddy Yankee
Bounce Back|Big Sean
You Don't Know Me|Summer Walker
Hot Shower|Chance The Rapper Featuring MadeinTYO & DaBaby
American Country Love Song|Jake Owen
Oh My God|Adele
Lying|Lil Baby & Lil Durk
Best Shot|Jimmie Allen
Championships|Meek Mill
Undivided|Tim McGraw & Tyler Hubbard
Too Much To Ask|Niall Horan
Already Won|Rod Wave Featuring Lil Durk
B.S.|Jhene Aiko Featuring H.E.R.
Stick That In Your Country Song|Eric Church
Rule The World|2 Chainz Featuring Ariana Grande
Photograph|Ed Sheeran
DDU-DU DDU-DU|BLACKPINK
Done|Chris Janson
Todo de Ti|Rauw Alejandro
I Don't Like It, I Love It|Flo Rida Featuring Robin Thicke & Verdine White
M.I.L.F. $|Fergie
Beautiful Trauma|P!nk
Bad Blood|Taylor Swift Featuring Kendrick Lamar
Think A Little Less|Michael Ray
Unsteady|X Ambassadors
Traveller|Chris Stapleton
Floating|ScHoolboy Q Featuring 21 Savage
The Motto|Tiesto & Ava Max
CHAMPION|DaBaby
Charged Up|Drake
B.E.D.|Jacquees
Good To Be Alive (Hallelujah)|Andy Grammer
Cold Beer Calling My Name|Jameson Rodgers Featuring Luke Combs
Thug Love|A Boogie Wit da Hoodie
How Do You Sleep?|Sam Smith
One Call Away|Charlie Puth
Call Out My Name|The Weeknd
We Went|Randy Houser
Japan|Famous Dex
Apparently|J. Cole
Thick|DJ Chose Featuring BeatKing
Me (FWM)|Meek Mill Featuring A$AP Ferg
ily|Surf Mesa Featuring Emilee
I'm So Tired...|Lauv & Troye Sivan
ZEZE|Kodak Black Featuring Travis Scott & Offset
Aim For The Moon|Pop Smoke Featuring Quavo
One Big Country Song|LOCASH
Otherside|Post Malone
30 For 30 Freestyle|Drake
How Would You Feel (Paean)|Ed Sheeran
